Added Feature,Test Accuracy,Test Delta,Train Accuracy,Train Delta
NO FEATURES,0.1965982991495748,0.05374115629243195,0.19913580246913581,0.056278659611992965
Token string,0.7658829414707353,0.5692846423211605,0.9141975308641975,0.7150617283950618
Google 300-dim word embeddings,0.847423711855928,0.0815407703851927,0.9128395061728395,-0.0013580246913580396
Google 300-dim word embeddings context,0.7418709354677339,-0.10555277638819416,0.8569135802469136,-0.055925925925925934
