Added Feature,Test Accuracy,Test Delta,Train Accuracy,Train Delta
Google 300-dim word embeddings:Token string,0.848424212106053,0.7055670692489102,0.9128395061728395,0.7699823633156966
NER Tags,0.8479239619809905,-5.002501250624958E-4,0.9159259259259259,0.0030864197530864335
